job_role,skills
Data Scientist,"Python,R,Machine Learning,Deep Learning,TensorFlow,PyTorch,Statistics,NLP"
Data Analyst,"SQL,Power BI,Tableau,Python,R,Statistics,Data Visualization"
Data Engineer,"SQL,NoSQL,Spark,Hadoop,Airflow,Kafka,Python,Scala,Cloud Platforms"
DevOps Engineer,"CI/CD,Jenkins,GitLab,Infrastructure as Code,Docker,Kubernetes,Monitoring,AWS,Azure,GCP"
Site Reliability Engineer,"System Design,Monitoring,Alerting,Incident Management,Automation,Cloud Infrastructure"
System and Network Administrator,"Linux,Windows,Networking,Virtualization,Active Directory,Scripting"
Cloud Developer,"Python,Java,Node.js,Docker,Kubernetes,Microservices,REST API,AWS,Azure,GCP,CI/CD"
Cloud Architect,"AWS,Azure,GCP,Distributed Architecture,High Availability,Disaster Recovery,Cloud Security,IAM,Cost Optimization"
Security Administrator,"Active Directory,LDAP,IAM,Access Management,Audit,Compliance,PowerShell,Bash,SIEM,Splunk"
Security Auditor,"Burp Suite,Metasploit,Network Security,Web App Testing,Offensive Scripting,Vulnerability Reports,Penetration Testing"
Cybersecurity Analyst,"SIEM,Monitoring,Anomaly Detection,Incident Response,Threat Intelligence,Python Automation"
Frontend Developer,"HTML5,CSS3,React,Vue.js,Angular,JavaScript,TypeScript,Responsive Design,Web Performance"
Backend Developer,"Java,Python,Node.js,SQL,NoSQL,REST API,GraphQL,Microservices,Cloud Platforms"
FullStack Developer,"React,Vue,Node.js,Python,Databases,Docker,Cloud,End to End Development"
Software Architect,"Design Patterns,Layered Architecture,Microservices,System Design,Technical Mentoring"
QA Engineer,"Selenium,Cypress,Test Automation,Performance Testing,Test Frameworks,CI/CD"
